idna_subject,checker_type,destination,tested_at
alfabetnieruchomosci.pl,AVAILABILITY,origin.list,2021-01-13 20:39:05.169418
blogginghippo.pl,AVAILABILITY,origin.list,2021-01-13 20:46:01.337802
bmstudiourody.pl,AVAILABILITY,origin.list,2021-01-13 20:46:24.691807
bobopstryk.pl,AVAILABILITY,origin.list,2021-01-13 20:46:34.876630
bpgzawady.pl,AVAILABILITY,origin.list,2021-01-13 20:47:22.356796
dachy-kobus.pl,AVAILABILITY,origin.list,2021-01-14 01:08:01.838353
20pascals.nl,AVAILABILITY,origin.list,2021-07-03 22:02:16.224693
bestagd.eu,AVAILABILITY,origin.list,2021-07-03 22:24:56.572079
butypolskasklep.nadi8.com,AVAILABILITY,origin.list,2021-07-03 22:30:21.216156
chotto-ippuku.com,AVAILABILITY,origin.list,2021-07-03 22:34:00.997698
dojaroslawca.pl,AVAILABILITY,origin.list,2021-07-03 22:59:56.121687
edofinansowania.eu,AVAILABILITY,origin.list,2021-07-03 23:03:47.905700
edukacjawakcji.pl,AVAILABILITY,origin.list,2021-07-03 23:04:01.388973
egregorikoi.pl,AVAILABILITY,origin.list,2021-07-03 23:04:19.897414
esthetiquebazaar.pl,AVAILABILITY,origin.list,2021-07-03 23:07:20.222684
esyfloresyonline.pl,AVAILABILITY,origin.list,2021-07-03 23:07:28.434933
e-lektrosklep.com,AVAILABILITY,origin.list,2021-07-03 23:08:49.942219
feed.engage.im,AVAILABILITY,origin.list,2021-07-03 23:10:25.676233
fotobudkahihotka.pl,AVAILABILITY,origin.list,2021-07-03 23:14:57.186891
fotojagodaskora.pl,AVAILABILITY,origin.list,2021-07-03 23:15:10.106736
frio.com.pl,AVAILABILITY,origin.list,2021-07-03 23:16:09.283306
fundacjazycieodnowa.pl,AVAILABILITY,origin.list,2021-07-03 23:16:40.843770
gastroakcesoria.pl,AVAILABILITY,origin.list,2021-07-03 23:18:45.006012
groteskaarabians.com.pl,AVAILABILITY,origin.list,2021-07-03 23:58:49.874084
hammessandandgravel.com,AVAILABILITY,origin.list,2021-07-03 23:59:38.945557
hellbellas.pl,AVAILABILITY,origin.list,2021-07-04 00:00:47.549610
homeopatiakoszalin.pl,AVAILABILITY,origin.list,2021-07-04 00:01:59.926435
inspektorzyzieleni.pl,AVAILABILITY,origin.list,2021-07-04 00:03:52.949588
januszbysina.pl,AVAILABILITY,origin.list,2021-07-04 00:08:06.261551
kancelaria-prawna-katowice.pl,AVAILABILITY,origin.list,2021-07-04 00:10:19.411173
katechizm-korespondencyjny.pl,AVAILABILITY,origin.list,2021-07-04 00:11:34.186023
